depthInfo,district,val,year
Amager Vest-Low Income,Amager Vest,14204.0,2008.0
Amager Vest-Middle Income,Amager Vest,14716.0,2008.0
Amager Vest-High Income,Amager Vest,15593.0,2008.0
Amager Øst-Low Income,Amager Øst,12403.0,2008.0
Amager Øst-Middle Income,Amager Øst,12512.0,2008.0
Amager Øst-High Income,Amager Øst,14800.0,2008.0
Bispebjerg-Low Income,Bispebjerg,11002.0,2008.0
Bispebjerg-Middle Income,Bispebjerg,11442.0,2008.0
Bispebjerg-High Income,Bispebjerg,11002.0,2008.0
Brønshøj~Husum-Low Income,Brønshøj~Husum,11430.0,2008.0
Brønshøj~Husum-Middle Income,Brønshøj~Husum,9403.0,2008.0
Brønshøj~Husum-High Income,Brønshøj~Husum,8688.0,2008.0
Indre By-Low Income,Indre By,18658.0,2008.0
Indre By-Middle Income,Indre By,17085.0,2008.0
Indre By-High Income,Indre By,17535.0,2008.0
Nørrebro-Low Income,Nørrebro,19424.0,2008.0
Nørrebro-Middle Income,Nørrebro,21014.0,2008.0
Nørrebro-High Income,Nørrebro,21005.0,2008.0
Valby-Low Income,Valby,10437.0,2008.0
Valby-Middle Income,Valby,9884.0,2008.0
Valby-High Income,Valby,12940.0,2008.0
Vanløse-Low Income,Vanløse,7813.0,2008.0
Vanløse-Middle Income,Vanløse,8299.0,2008.0
Vanløse-High Income,Vanløse,9258.0,2008.0
Vesterbro~kongens Enghave-Low Income,Vesterbro~kongens Enghave,15522.0,2008.0
Vesterbro~kongens Enghave-Middle Income,Vesterbro~kongens Enghave,14182.0,2008.0
Vesterbro~kongens Enghave-High Income,Vesterbro~kongens Enghave,14638.0,2008.0
Østerbro-Low Income,Østerbro,17102.0,2008.0
Østerbro-Middle Income,Østerbro,20270.0,2008.0
Østerbro-High Income,Østerbro,21957.0,2008.0
Amager Vest-Low Income,Amager Vest,14621.0,2009.0
Amager Vest-Middle Income,Amager Vest,14037.0,2009.0
Amager Vest-High Income,Amager Vest,16599.0,2009.0
Amager Øst-Low Income,Amager Øst,12534.0,2009.0
Amager Øst-Middle Income,Amager Øst,12051.0,2009.0
Amager Øst-High Income,Amager Øst,15472.0,2009.0
Bispebjerg-Low Income,Bispebjerg,11418.0,2009.0
Bispebjerg-Middle Income,Bispebjerg,10931.0,2009.0
Bispebjerg-High Income,Bispebjerg,11470.0,2009.0
Brønshøj~Husum-Low Income,Brønshøj~Husum,11861.0,2009.0
Brønshøj~Husum-Middle Income,Brønshøj~Husum,9057.0,2009.0
Brønshøj~Husum-High Income,Brønshøj~Husum,9390.0,2009.0
Indre By-Low Income,Indre By,19483.0,2009.0
