aar,district,antal_beboere,antal_boliger,alder_antal_0_5,alder_antal_6_17,alder_antal_18_29,alder_antal_30_39,alder_antal_40_49,alder_antal_50_64,alder_antal_over_65,antal_tilkn_arb_markedet,antal_udf_arb_markedet,antal_gymnasial_udd,antal_erh_faglig_udd,antal_kort_viderg_udd,antal_mellemlang_viderg_udd,antal_lang_viderg_udd,antal_ingen_udd,antal_under_udd,antal_virksomheder,antal_ivaerksaettere,antal_handel_transport,antal_inform_kommunikation,antal_finansiering_forsikring,antal_ejendomshandel_udlejning,antal_erhvervsservice,antal_offentlig_administrat_mv,antal_undervisning,antal_sundhed_socialvaesen,antal_kultur_forlyst_a_service,antal_landbrug_uoplyst,antal_arbejdspladser_ialt,antal_selvstaendige,antal_lonmodtagere,antal_lav_indkomst,antal_middel_indkomst,antal_hoj_indkomst,antal_dansk,antal_vestlig,antal_ikke_vestlig,antal_enlige_u_born,antal_enlige_m_born,antal_par_u_born,antal_par_m_born,antal_ovrige_husstande,antal_m_install_mangler,antal_u_install_mangler,bolig_antal_u_40_m2,bolig_antal_40_59_m2,bolig_antal_60_79_m2,bolig_antal_80_99_m2,bolig_antal_100_119_m2,bolig_antal_over_120_m2,antal_almen_bolig,antal_ejerbolig,antal_pr_andelsbolig,antal_off_ejet_bolig,antal_bolig_for_1900,antal_bolig_aar_1900_1929,antal_bolig_aar_1930_1949,antal_bolig_aar_1950_1979,antal_bolig_efter_1980,antal_nettotilflytning
2008,amager_vest,53163,30062,4139.0,5797.0,13040.0,10579.0,6905.0,7430.0,5273.0,29282.0,5986.0,3130.0,8085.0,1635.0,4433.0,4294.0,9352.0,7818.0,3930.0,511.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1427.0,28228.0,14204.0,14716.0,15593.0,41540.0,3212.0,8411.0,13895.0,1977.0,5331.0,3913.0,2929.0,4559.0,25503.0,1776.0,7467.0,8077.0,6633.0,3246.0,2853.0,6127.0,7318.0,9385.0,330.0,3833.0,8099.0,8684.0,5028.0,4418.0,1166.0
2008,amager_øst,46552,27900,3242.0,4146.0,11798.0,9484.0,5873.0,6732.0,5277.0,27177.0,4759.0,2846.0,7655.0,1572.0,4187.0,3931.0,7180.0,7146.0,3196.0,436.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1244.0,26269.0,12403.0,12512.0,14800.0,39589.0,2796.0,4167.0,14232.0,1421.0,5169.0,3266.0,2321.0,3246.0,24654.0,1684.0,8208.0,8422.0,4439.0,2458.0,2682.0,3192.0,7341.0,10006.0,537.0,797.0,8581.0,12133.0,4000.0,2389.0,287.0
2008,bispebjerg,39001,23849,2581.0,3543.0,9856.0,7097.0,4991.0,6200.0,4733.0,20948.0,4876.0,2303.0,5389.0,1174.0,3584.0,3128.0,6851.0,6254.0,3895.0,429.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1041.0,20160.0,11002.0,11442.0,11002.0,31208.0,2454.0,5339.0,12449.0,1489.0,3988.0,2487.0,2039.0,1982.0,21867.0,1856.0,6333.0,7562.0,4210.0,1746.0,2126.0,7416.0,4057.0,5094.0,246.0,1396.0,5947.0,10329.0,3869.0,2308.0,627.0
2008,brønshøj-husum,35407,20441,2683.0,3575.0,9650.0,7946.0,4235.0,4348.0,2970.0,19572.0,4050.0,2439.0,3985.0,1060.0,3364.0,3531.0,5728.0,6556.0,3156.0,395.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1050.0,18742.0,11430.0,9403.0,8688.0,26284.0,2509.0,6614.0,10347.0,1196.0,3326.0,2233.0,2292.0,3683.0,16758.0,1358.0,6034.0,5542.0,4406.0,1457.0,1639.0,3511.0,2636.0,8633.0,30.0,5530.0,7242.0,2799.0,2412.0,2458.0,93.0
2008,indre_by,63731,35998,4607.0,6474.0,15552.0,13182.0,7966.0,9298.0,6652.0,34543.0,7762.0,4416.0,6969.0,1943.0,6195.0,6727.0,10368.0,10328.0,10123.0,932.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2311.0,32761.0,18658.0,17085.0,17535.0,48560.0,4666.0,10505.0,17389.0,2127.0,5883.0,4184.0,4333.0,5726.0,30272.0,1471.0,7731.0,10538.0,8012.0,3160.0,5069.0,6766.0,5665.0,11715.0,1516.0,13998.0,9718.0,4520.0,3981.0,3781.0,333.0
2008,nørrebro,74253,42983,5657.0,7522.0,17491.0,15039.0,9411.0,10646.0,8487.0,40069.0,8269.0,4451.0,10461.0,2311.0,6598.0,6613.0,12332.0,10948.0,5342.0,761.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2132.0,38460.0,19424.0,21014.0,21005.0,58322.0,4104.0,11827.0,21490.0,2466.0,7329.0,5263.0,4094.0,5017.0,37967.0,2101.0,11527.0,13988.0,8283.0,3178.0,3720.0,10611.0,9451.0,12842.0,177.0,4910.0,11741.0,15292.0,9391.0,1650.0,142.0
2008,valby,39630,23076,2977.0,3749.0,9362.0,8184.0,5358.0,6155.0,3845.0,22952.0,4226.0,2484.0,5397.0,1158.0,4325.0,4145.0,5949.0,6172.0,3092.0,436.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1223.0,21974.0,10437.0,9884.0,12940.0,33455.0,2594.0,3581.0,10798.0,1156.0,4262.0,3047.0,2123.0,3364.0,19712.0,1401.0,4864.0,6471.0,4701.0,2897.0,2725.0,2851.0,5213.0,8363.0,572.0,2805.0,9182.0,3699.0,3904.0,3486.0,94.0
2008,vanløse,30603,17742,2205.0,3003.0,7628.0,6047.0,3991.0,4668.0,3061.0,17488.0,3293.0,1829.0,4370.0,963.0,3062.0,3115.0,4730.0,4720.0,2342.0,305.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,859.0,16837.0,7813.0,8299.0,9258.0,25010.0,1858.0,3735.0,8703.0,957.0,3137.0,2234.0,1711.0,1612.0,16130.0,678.0,5106.0,5511.0,3337.0,1379.0,1722.0,3513.0,3608.0,6606.0,35.0,2743.0,4035.0,7434.0,1667.0,1863.0,-245.0
2008,vesterbro-kongens_enghave,52509,30630,3779.0,4951.0,13394.0,10613.0,6803.0,7662.0,5307.0,29250.0,6137.0,3277.0,6840.0,1592.0,4797.0,4989.0,8667.0,8977.0,5177.0,708.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1574.0,28026.0,15522.0,14182.0,14638.0,42282.0,3292.0,6935.0,15207.0,1681.0,5232.0,3652.0,3028.0,4477.0,26153.0,3094.0,6671.0,8510.0,6098.0,2809.0,3423.0,5507.0,4657.0,10979.0,721.0,7428.0,8965.0,5047.0,6997.0,2193.0,495.0
2008,østerbro,70188,40540,5179.0,7385.0,14189.0,13616.0,9607.0,11227.0,8985.0,37506.0,8068.0,3879.0,10839.0,2202.0,6763.0,5619.0,12206.0,8254.0,4783.0,666.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1898.0,36071.0,17102.0,20270.0,21957.0,57171.0,3473.0,9544.0,20093.0,2484.0,7005.0,5237.0,3462.0,4043.0,36497.0,2328.0,11609.0,11995.0,7059.0,3680.0,3852.0,10395.0,10164.0,11823.0,1076.0,1651.0,9293.0,17769.0,7851.0,3976.0,2167.0
2009,amager_vest,54820,30252,4341.0,5966.0,13517.0,11141.0,7141.0,7413.0,5301.0,33994.0,6864.0,3446.0,8151.0,1560.0,4760.0,4676.0,9572.0,7957.0,4014.0,510.0,6086.0,935.0,237.0,717.0,3889.0,2275.0,1652.0,3487.0,1378.0,68.0,22384.0,1637.0,28271.0,14621.0,14037.0,16599.0,42382.0,3643.0,8795.0,13804.0,2018.0,5359.0,4118.0,3206.0,4380.0,25872.0,1777.0,7408.0,8014.0,6710.0,3355.0,2988.0,6332.0,7170.0,9475.0,330.0,3811.0,8095.0,8690.0,5036.0,4620.0,470.0
2009,amager_øst,47310,27941,3403.0,4192.0,11851.0,9777.0,6016.0,6750.0,5321.0,30418.0,5386.0,3049.0,7511.0,1527.0,4372.0,4289.0,7075.0,7232.0,3327.0,496.0,3063.0,3046.0,607.0,601.0,3481.0,1901.0,3700.0,3144.0,2272.0,46.0,23068.0,1350.0,25857.0,12534.0,12051.0,15472.0,39947.0,3050.0,4313.0,14221.0,1393.0,5115.0,3413.0,2439.0,3121.0,24820.0,1689.0,8167.0,8380.0,4440.0,2518.0,2747.0,3277.0,7257.0,10223.0,535.0,800.0,8571.0,12094.0,4081.0,2395.0,262.0
2009,bispebjerg,39852,24080,2770.0,3636.0,10186.0,7281.0,5081.0,6161.0,4737.0,24434.0,5531.0,2494.0,5335.0,1087.0,3791.0,3388.0,6776.0,6394.0,3963.0,420.0,6387.0,3012.0,3117.0,1105.0,5160.0,1308.0,1586.0,2627.0,1878.0,56.0,28957.0,1182.0,20067.0,11418.0,10931.0,11470.0,31500.0,2609.0,5743.0,12379.0,1517.0,3969.0,2558.0,2182.0,2001.0,22079.0,1943.0,6344.0,7552.0,4260.0,1773.0,2208.0,7412.0,3987.0,5107.0,347.0,1420.0,5937.0,10321.0,3863.0,2539.0,335.0
2009,brønshøj-husum,35759,20605,2652.0,3586.0,9959.0,7874.0,4359.0,4348.0,2981.0,22751.0,4806.0,2594.0,3891.0,903.0,3435.0,3821.0,5790.0,6638.0,3230.0,390.0,5421.0,2382.0,1445.0,417.0,2739.0,2185.0,1989.0,1834.0,1902.0,46.0,21264.0,1167.0,18343.0,11861.0,9057.0,9390.0,26384.0,2741.0,6634.0,10229.0,1165.0,3330.0,2261.0,2439.0,3453.0,17152.0,1353.0,5980.0,5548.0,4458.0,1559.0,1707.0,3511.0,2716.0,8629.0,22.0,5541.0,7216.0,2798.0,2412.0,2638.0,585.0
2009,indre_by,64353,36067,4639.0,6436.0,16103.0,13220.0,8031.0,9204.0,6720.0,39702.0,8865.0,4729.0,6854.0,1662.0,6476.0,7217.0,10174.0,10421.0,10127.0,865.0,22353.0,5203.0,8408.0,1743.0,11941.0,9276.0,6340.0,7275.0,8530.0,151.0,83140.0,2560.0,31964.0,19483.0,16264.0,18443.0,48866.0,4972.0,10515.0,17428.0,2153.0,5837.0,4216.0,4467.0,5510.0,30557.0,1425.0,7679.0,10509.0,8073.0,3213.0,5168.0,6766.0,5604.0,11776.0,1490.0,14023.0,9711.0,4497.0,3984.0,3852.0,879.0
2009,nørrebro,74767,43071,5709.0,7615.0,17629.0,15231.0,9645.0,10604.0,8334.0,45939.0,9390.0,4723.0,10261.0,2160.0,6822.0,7152.0,12345.0,10783.0,5528.0,734.0,9380.0,3290.0,1168.0,679.0,3354.0,1804.0,2433.0,3998.0,2303.0,44.0,32545.0,2354.0,37707.0,20098.0,20124.0,22201.0,58004.0,4462.0,12301.0,21130.0,2556.0,7313.0,5258.0,4253.0,4781.0,38290.0,2267.0,11415.0,13962.0,8326.0,3257.0,3844.0,10593.0,9283.0,12859.0,175.0,4929.0,11726.0,15302.0,9371.0,1743.0,682.0
2009,valby,40153,23160,3085.0,3807.0,9446.0,8275.0,5391.0,6239.0,3910.0,25715.0,4846.0,2624.0,5364.0,1106.0,4533.0,4516.0,5761.0,6056.0,3201.0,436.0,2994.0,3222.0,222.0,499.0,3687.0,2278.0,2656.0,14921.0,1538.0,22.0,32919.0,1433.0,21498.0,10702.0,9584.0,13690.0,33508.0,2847.0,3798.0,10616.0,1174.0,4240.0,3142.0,2252.0,3236.0,19924.0,1276.0,4770.0,6500.0,4755.0,3020.0,2839.0,2851.0,5440.0,8339.0,422.0,2796.0,9126.0,3710.0,3862.0,3666.0,799.0
2009,vanløse,30578,17717,2226.0,2982.0,7607.0,6025.0,4016.0,4641.0,3081.0,19353.0,3856.0,1978.0,4281.0,883.0,3093.0,3273.0,4710.0,4529.0,2406.0,327.0,2436.0,819.0,1130.0,222.0,1440.0,7721.0,599.0,1727.0,1858.0,45.0,18858.0,950.0,16264.0,8136.0,7905.0,9749.0,24765.0,1943.0,3870.0,8578.0,970.0,3125.0,2230.0,1741.0,1521.0,16196.0,675.0,5077.0,5483.0,3334.0,1397.0,1751.0,3512.0,3597.0,6538.0,15.0,2709.0,4015.0,7412.0,1714.0,1867.0,276.0
