depthInfo,district,val,year
amager_vest-before 1900,amager_vest,3833.0,2008.0
amager_vest-1900~1929,amager_vest,8099.0,2008.0
amager_vest-1930~1949,amager_vest,8684.0,2008.0
amager_vest-1950~1979,amager_vest,5028.0,2008.0
amager_vest-after 19080,amager_vest,4418.0,2008.0
amager_øst-before 1900,amager_øst,797.0,2008.0
amager_øst-1900~1929,amager_øst,8581.0,2008.0
amager_øst-1930~1949,amager_øst,12133.0,2008.0
amager_øst-1950~1979,amager_øst,4000.0,2008.0
amager_øst-after 19080,amager_øst,2389.0,2008.0
bispebjerg-before 1900,bispebjerg,1396.0,2008.0
bispebjerg-1900~1929,bispebjerg,5947.0,2008.0
bispebjerg-1930~1949,bispebjerg,10329.0,2008.0
bispebjerg-1950~1979,bispebjerg,3869.0,2008.0
bispebjerg-after 19080,bispebjerg,2308.0,2008.0
brønshøj husum-before 1900,brønshøj husum,5530.0,2008.0
brønshøj husum-1900~1929,brønshøj husum,7242.0,2008.0
brønshøj husum-1930~1949,brønshøj husum,2799.0,2008.0
brønshøj husum-1950~1979,brønshøj husum,2412.0,2008.0
brønshøj husum-after 19080,brønshøj husum,2458.0,2008.0
indre_by-before 1900,indre_by,13998.0,2008.0
indre_by-1900~1929,indre_by,9718.0,2008.0
indre_by-1930~1949,indre_by,4520.0,2008.0
indre_by-1950~1979,indre_by,3981.0,2008.0
indre_by-after 19080,indre_by,3781.0,2008.0
nørrebro-before 1900,nørrebro,4910.0,2008.0
nørrebro-1900~1929,nørrebro,11741.0,2008.0
nørrebro-1930~1949,nørrebro,15292.0,2008.0
nørrebro-1950~1979,nørrebro,9391.0,2008.0
nørrebro-after 19080,nørrebro,1650.0,2008.0
valby-before 1900,valby,2805.0,2008.0
valby-1900~1929,valby,9182.0,2008.0
valby-1930~1949,valby,3699.0,2008.0
valby-1950~1979,valby,3904.0,2008.0
valby-after 19080,valby,3486.0,2008.0
vanløse-before 1900,vanløse,2743.0,2008.0
vanløse-1900~1929,vanløse,4035.0,2008.0
vanløse-1930~1949,vanløse,7434.0,2008.0
vanløse-1950~1979,vanløse,1667.0,2008.0
vanløse-after 19080,vanløse,1863.0,2008.0
vesterbro kongens_enghave-before 1900,vesterbro kongens_enghave,7428.0,2008.0
vesterbro kongens_enghave-1900~1929,vesterbro kongens_enghave,8965.0,2008.0
vesterbro kongens_enghave-1930~1949,vesterbro kongens_enghave,5047.0,2008.0
vesterbro kongens_enghave-1950~1979,vesterbro kongens_enghave,6997.0,2008.0
vesterbro kongens_enghave-after 19080,vesterbro kongens_enghave,2193.0,2008.0
østerbro-before 1900,østerbro,1651.0,2008.0
østerbro-1900~1929,østerbro,9293.0,2008.0
østerbro-1930~1949,østerbro,17769.0,2008.0
østerbro-1950~1979,østerbro,7851.0,2008.0
østerbro-after 19080,østerbro,3976.0,2008.0
amager_vest-before 1900,amager_vest,3811.0,2009.0
amager_vest-1900~1929,amager_vest,8095.0,2009.0
amager_vest-1930~1949,amager_vest,8690.0,2009.0
amager_vest-1950~1979,amager_vest,5036.0,2009.0
amager_vest-after 19080,amager_vest,4620.0,2009.0
amager_øst-before 1900,amager_øst,800.0,2009.0
amager_øst-1900~1929,amager_øst,8571.0,2009.0
amager_øst-1930~1949,amager_øst,12094.0,2009.0
amager_øst-1950~1979,amager_øst,4081.0,2009.0
amager_øst-after 19080,amager_øst,2395.0,2009.0
bispebjerg-before 1900,bispebjerg,1420.0,2009.0
bispebjerg-1900~1929,bispebjerg,5937.0,2009.0
bispebjerg-1930~1949,bispebjerg,10321.0,2009.0
bispebjerg-1950~1979,bispebjerg,3863.0,2009.0
bispebjerg-after 19080,bispebjerg,2539.0,2009.0
brønshøj husum-before 1900,brønshøj husum,5541.0,2009.0
brønshøj husum-1900~1929,brønshøj husum,7216.0,2009.0
brønshøj husum-1930~1949,brønshøj husum,2798.0,2009.0
brønshøj husum-1950~1979,brønshøj husum,2412.0,2009.0
brønshøj husum-after 19080,brønshøj husum,2638.0,2009.0
indre_by-before 1900,indre_by,14023.0,2009.0
indre_by-1900~1929,indre_by,9711.0,2009.0
