depthInfo,district,val,year
Amager Vest-Under 40m,Amager Vest,1776.0,2008.0
Amager Vest-40m ~ 50m,Amager Vest,7467.0,2008.0
Amager Vest-60m ~ 79m,Amager Vest,8077.0,2008.0
Amager Vest-80m ~ 99m,Amager Vest,6633.0,2008.0
Amager Vest-100m ~ 119m,Amager Vest,3246.0,2008.0
Amager Vest-120m,Amager Vest,2853.0,2008.0
Amager Øst-Under 40m,Amager Øst,1684.0,2008.0
Amager Øst-40m ~ 50m,Amager Øst,8208.0,2008.0
Amager Øst-60m ~ 79m,Amager Øst,8422.0,2008.0
Amager Øst-80m ~ 99m,Amager Øst,4439.0,2008.0
Amager Øst-100m ~ 119m,Amager Øst,2458.0,2008.0
Amager Øst-120m,Amager Øst,2682.0,2008.0
Bispebjerg-Under 40m,Bispebjerg,1856.0,2008.0
Bispebjerg-40m ~ 50m,Bispebjerg,6333.0,2008.0
Bispebjerg-60m ~ 79m,Bispebjerg,7562.0,2008.0
Bispebjerg-80m ~ 99m,Bispebjerg,4210.0,2008.0
Bispebjerg-100m ~ 119m,Bispebjerg,1746.0,2008.0
Bispebjerg-120m,Bispebjerg,2126.0,2008.0
Brønshøj~Husum-Under 40m,Brønshøj~Husum,1358.0,2008.0
Brønshøj~Husum-40m ~ 50m,Brønshøj~Husum,6034.0,2008.0
Brønshøj~Husum-60m ~ 79m,Brønshøj~Husum,5542.0,2008.0
Brønshøj~Husum-80m ~ 99m,Brønshøj~Husum,4406.0,2008.0
Brønshøj~Husum-100m ~ 119m,Brønshøj~Husum,1457.0,2008.0
Brønshøj~Husum-120m,Brønshøj~Husum,1639.0,2008.0
Indre By-Under 40m,Indre By,1471.0,2008.0
Indre By-40m ~ 50m,Indre By,7731.0,2008.0
Indre By-60m ~ 79m,Indre By,10538.0,2008.0
Indre By-80m ~ 99m,Indre By,8012.0,2008.0
Indre By-100m ~ 119m,Indre By,3160.0,2008.0
Indre By-120m,Indre By,5069.0,2008.0
Nørrebro-Under 40m,Nørrebro,2101.0,2008.0
Nørrebro-40m ~ 50m,Nørrebro,11527.0,2008.0
Nørrebro-60m ~ 79m,Nørrebro,13988.0,2008.0
Nørrebro-80m ~ 99m,Nørrebro,8283.0,2008.0
Nørrebro-100m ~ 119m,Nørrebro,3178.0,2008.0
Nørrebro-120m,Nørrebro,3720.0,2008.0
Valby-Under 40m,Valby,1401.0,2008.0
Valby-40m ~ 50m,Valby,4864.0,2008.0
Valby-60m ~ 79m,Valby,6471.0,2008.0
Valby-80m ~ 99m,Valby,4701.0,2008.0
Valby-100m ~ 119m,Valby,2897.0,2008.0
Valby-120m,Valby,2725.0,2008.0
Vanløse-Under 40m,Vanløse,678.0,2008.0
Vanløse-40m ~ 50m,Vanløse,5106.0,2008.0
Vanløse-60m ~ 79m,Vanløse,5511.0,2008.0
Vanløse-80m ~ 99m,Vanløse,3337.0,2008.0
Vanløse-100m ~ 119m,Vanløse,1379.0,2008.0
Vanløse-120m,Vanløse,1722.0,2008.0
Vesterbro~kongens Enghave-Under 40m,Vesterbro~kongens Enghave,3094.0,2008.0
Vesterbro~kongens Enghave-40m ~ 50m,Vesterbro~kongens Enghave,6671.0,2008.0
Vesterbro~kongens Enghave-60m ~ 79m,Vesterbro~kongens Enghave,8510.0,2008.0
Vesterbro~kongens Enghave-80m ~ 99m,Vesterbro~kongens Enghave,6098.0,2008.0
Vesterbro~kongens Enghave-100m ~ 119m,Vesterbro~kongens Enghave,2809.0,2008.0
Vesterbro~kongens Enghave-120m,Vesterbro~kongens Enghave,3423.0,2008.0
Østerbro-Under 40m,Østerbro,2328.0,2008.0
Østerbro-40m ~ 50m,Østerbro,11609.0,2008.0
Østerbro-60m ~ 79m,Østerbro,11995.0,2008.0
Østerbro-80m ~ 99m,Østerbro,7059.0,2008.0
Østerbro-100m ~ 119m,Østerbro,3680.0,2008.0
Østerbro-120m,Østerbro,3852.0,2008.0
Amager Vest-Under 40m,Amager Vest,1777.0,2009.0
Amager Vest-40m ~ 50m,Amager Vest,7408.0,2009.0
Amager Vest-60m ~ 79m,Amager Vest,8014.0,2009.0
Amager Vest-80m ~ 99m,Amager Vest,6710.0,2009.0
Amager Vest-100m ~ 119m,Amager Vest,3355.0,2009.0
Amager Vest-120m,Amager Vest,2988.0,2009.0
Amager Øst-Under 40m,Amager Øst,1689.0,2009.0
Amager Øst-40m ~ 50m,Amager Øst,8167.0,2009.0
Amager Øst-60m ~ 79m,Amager Øst,8380.0,2009.0
Amager Øst-80m ~ 99m,Amager Øst,4440.0,2009.0
Amager Øst-100m ~ 119m,Amager Øst,2518.0,2009.0
Amager Øst-120m,Amager Øst,2747.0,2009.0
Bispebjerg-Under 40m,Bispebjerg,1943.0,2009.0
Bispebjerg-40m ~ 50m,Bispebjerg,6344.0,2009.0
Bispebjerg-60m ~ 79m,Bispebjerg,7552.0,2009.0
Bispebjerg-80m ~ 99m,Bispebjerg,4260.0,2009.0
Bispebjerg-100m ~ 119m,Bispebjerg,1773.0,2009.0
Bispebjerg-120m,Bispebjerg,2208.0,2009.0
Brønshøj~Husum-Under 40m,Brønshøj~Husum,1353.0,2009.0
Brønshøj~Husum-40m ~ 50m,Brønshøj~Husum,5980.0,2009.0
Brønshøj~Husum-60m ~ 79m,Brønshøj~Husum,5548.0,2009.0
Brønshøj~Husum-80m ~ 99m,Brønshøj~Husum,4458.0,2009.0
Brønshøj~Husum-100m ~ 119m,Brønshøj~Husum,1559.0,2009.0
Brønshøj~Husum-120m,Brønshøj~Husum,1707.0,2009.0
Indre By-Under 40m,Indre By,1425.0,2009.0
Indre By-40m ~ 50m,Indre By,7679.0,2009.0
Indre By-60m ~ 79m,Indre By,10509.0,2009.0
Indre By-80m ~ 99m,Indre By,8073.0,2009.0
Indre By-100m ~ 119m,Indre By,3213.0,2009.0
Indre By-120m,Indre By,5168.0,2009.0
Nørrebro-Under 40m,Nørrebro,2267.0,2009.0
Nørrebro-40m ~ 50m,Nørrebro,11415.0,2009.0
Nørrebro-60m ~ 79m,Nørrebro,13962.0,2009.0
Nørrebro-80m ~ 99m,Nørrebro,8326.0,2009.0
Nørrebro-100m ~ 119m,Nørrebro,3257.0,2009.0
Nørrebro-120m,Nørrebro,3844.0,2009.0
Valby-Under 40m,Valby,1276.0,2009.0
Valby-40m ~ 50m,Valby,4770.0,2009.0
Valby-60m ~ 79m,Valby,6500.0,2009.0
Valby-80m ~ 99m,Valby,4755.0,2009.0
Valby-100m ~ 119m,Valby,3020.0,2009.0
Valby-120m,Valby,2839.0,2009.0
Vanløse-Under 40m,Vanløse,675.0,2009.0
Vanløse-40m ~ 50m,Vanløse,5077.0,2009.0
Vanløse-60m ~ 79m,Vanløse,5483.0,2009.0
Vanløse-80m ~ 99m,Vanløse,3334.0,2009.0
Vanløse-100m ~ 119m,Vanløse,1397.0,2009.0
Vanløse-120m,Vanløse,1751.0,2009.0
Vesterbro~kongens Enghave-Under 40m,Vesterbro~kongens Enghave,3051.0,2009.0
Vesterbro~kongens Enghave-40m ~ 50m,Vesterbro~kongens Enghave,6650.0,2009.0
Vesterbro~kongens Enghave-60m ~ 79m,Vesterbro~kongens Enghave,8482.0,2009.0
Vesterbro~kongens Enghave-80m ~ 99m,Vesterbro~kongens Enghave,6190.0,2009.0
Vesterbro~kongens Enghave-100m ~ 119m,Vesterbro~kongens Enghave,2861.0,2009.0
