depthInfo,district,val,year
Amager Vest-Social,Amager Vest,6127.0,2008.0
Amager Vest-Private,Amager Vest,7318.0,2008.0
Amager Vest-Cooperative,Amager Vest,9385.0,2008.0
Amager Vest-Officially Owned,Amager Vest,330.0,2008.0
Amager Øst-Social,Amager Øst,3192.0,2008.0
Amager Øst-Private,Amager Øst,7341.0,2008.0
Amager Øst-Cooperative,Amager Øst,10006.0,2008.0
Amager Øst-Officially Owned,Amager Øst,537.0,2008.0
Bispebjerg-Social,Bispebjerg,7416.0,2008.0
Bispebjerg-Private,Bispebjerg,4057.0,2008.0
Bispebjerg-Cooperative,Bispebjerg,5094.0,2008.0
Bispebjerg-Officially Owned,Bispebjerg,246.0,2008.0
Brønshøj~Husum-Social,Brønshøj~Husum,3511.0,2008.0
Brønshøj~Husum-Private,Brønshøj~Husum,2636.0,2008.0
Brønshøj~Husum-Cooperative,Brønshøj~Husum,8633.0,2008.0
Brønshøj~Husum-Officially Owned,Brønshøj~Husum,30.0,2008.0
Indre By-Social,Indre By,6766.0,2008.0
Indre By-Private,Indre By,5665.0,2008.0
Indre By-Cooperative,Indre By,11715.0,2008.0
Indre By-Officially Owned,Indre By,1516.0,2008.0
Nørrebro-Social,Nørrebro,10611.0,2008.0
Nørrebro-Private,Nørrebro,9451.0,2008.0
Nørrebro-Cooperative,Nørrebro,12842.0,2008.0
Nørrebro-Officially Owned,Nørrebro,177.0,2008.0
Valby-Social,Valby,2851.0,2008.0
Valby-Private,Valby,5213.0,2008.0
Valby-Cooperative,Valby,8363.0,2008.0
Valby-Officially Owned,Valby,572.0,2008.0
Vanløse-Social,Vanløse,3513.0,2008.0
Vanløse-Private,Vanløse,3608.0,2008.0
Vanløse-Cooperative,Vanløse,6606.0,2008.0
Vanløse-Officially Owned,Vanløse,35.0,2008.0
Vesterbro~kongens Enghave-Social,Vesterbro~kongens Enghave,5507.0,2008.0
Vesterbro~kongens Enghave-Private,Vesterbro~kongens Enghave,4657.0,2008.0
Vesterbro~kongens Enghave-Cooperative,Vesterbro~kongens Enghave,10979.0,2008.0
Vesterbro~kongens Enghave-Officially Owned,Vesterbro~kongens Enghave,721.0,2008.0
Østerbro-Social,Østerbro,10395.0,2008.0
Østerbro-Private,Østerbro,10164.0,2008.0
Østerbro-Cooperative,Østerbro,11823.0,2008.0
Østerbro-Officially Owned,Østerbro,1076.0,2008.0
Amager Vest-Social,Amager Vest,6332.0,2009.0
Amager Vest-Private,Amager Vest,7170.0,2009.0
Amager Vest-Cooperative,Amager Vest,9475.0,2009.0
Amager Vest-Officially Owned,Amager Vest,330.0,2009.0
Amager Øst-Social,Amager Øst,3277.0,2009.0
Amager Øst-Private,Amager Øst,7257.0,2009.0
Amager Øst-Cooperative,Amager Øst,10223.0,2009.0
Amager Øst-Officially Owned,Amager Øst,535.0,2009.0
Bispebjerg-Social,Bispebjerg,7412.0,2009.0
Bispebjerg-Private,Bispebjerg,3987.0,2009.0
Bispebjerg-Cooperative,Bispebjerg,5107.0,2009.0
Bispebjerg-Officially Owned,Bispebjerg,347.0,2009.0
Brønshøj~Husum-Social,Brønshøj~Husum,3511.0,2009.0
Brønshøj~Husum-Private,Brønshøj~Husum,2716.0,2009.0
Brønshøj~Husum-Cooperative,Brønshøj~Husum,8629.0,2009.0
Brønshøj~Husum-Officially Owned,Brønshøj~Husum,22.0,2009.0
Indre By-Social,Indre By,6766.0,2009.0
Indre By-Private,Indre By,5604.0,2009.0
Indre By-Cooperative,Indre By,11776.0,2009.0
Indre By-Officially Owned,Indre By,1490.0,2009.0
Nørrebro-Social,Nørrebro,10593.0,2009.0
Nørrebro-Private,Nørrebro,9283.0,2009.0
Nørrebro-Cooperative,Nørrebro,12859.0,2009.0
Nørrebro-Officially Owned,Nørrebro,175.0,2009.0
Valby-Social,Valby,2851.0,2009.0
Valby-Private,Valby,5440.0,2009.0
Valby-Cooperative,Valby,8339.0,2009.0
Valby-Officially Owned,Valby,422.0,2009.0
Vanløse-Social,Vanløse,3512.0,2009.0
Vanløse-Private,Vanløse,3597.0,2009.0
Vanløse-Cooperative,Vanløse,6538.0,2009.0
Vanløse-Officially Owned,Vanløse,15.0,2009.0
