depthInfo,district,val,year
Amager Vest-couple-With Kids,Amager Vest,3913.0,2008.0
Amager Vest-couple-Without Kids,Amager Vest,5331.0,2008.0
Amager Vest-single-With Kids,Amager Vest,1977.0,2008.0
Amager Vest-single-Without Kids,Amager Vest,13895.0,2008.0
Amager Øst-couple-With Kids,Amager Øst,3266.0,2008.0
Amager Øst-couple-Without Kids,Amager Øst,5169.0,2008.0
Amager Øst-single-With Kids,Amager Øst,1421.0,2008.0
Amager Øst-single-Without Kids,Amager Øst,14232.0,2008.0
Bispebjerg-couple-With Kids,Bispebjerg,2487.0,2008.0
Bispebjerg-couple-Without Kids,Bispebjerg,3988.0,2008.0
Bispebjerg-single-With Kids,Bispebjerg,1489.0,2008.0
Bispebjerg-single-Without Kids,Bispebjerg,12449.0,2008.0
Brønshøj~Husum-couple-With Kids,Brønshøj~Husum,2233.0,2008.0
Brønshøj~Husum-couple-Without Kids,Brønshøj~Husum,3326.0,2008.0
Brønshøj~Husum-single-With Kids,Brønshøj~Husum,1196.0,2008.0
Brønshøj~Husum-single-Without Kids,Brønshøj~Husum,10347.0,2008.0
Indre By-couple-With Kids,Indre By,4184.0,2008.0
Indre By-couple-Without Kids,Indre By,5883.0,2008.0
Indre By-single-With Kids,Indre By,2127.0,2008.0
Indre By-single-Without Kids,Indre By,17389.0,2008.0
Nørrebro-couple-With Kids,Nørrebro,5263.0,2008.0
Nørrebro-couple-Without Kids,Nørrebro,7329.0,2008.0
Nørrebro-single-With Kids,Nørrebro,2466.0,2008.0
Nørrebro-single-Without Kids,Nørrebro,21490.0,2008.0
Valby-couple-With Kids,Valby,3047.0,2008.0
Valby-couple-Without Kids,Valby,4262.0,2008.0
Valby-single-With Kids,Valby,1156.0,2008.0
Valby-single-Without Kids,Valby,10798.0,2008.0
Vanløse-couple-With Kids,Vanløse,2234.0,2008.0
Vanløse-couple-Without Kids,Vanløse,3137.0,2008.0
Vanløse-single-With Kids,Vanløse,957.0,2008.0
Vanløse-single-Without Kids,Vanløse,8703.0,2008.0
Vesterbro~kongens Enghave-couple-With Kids,Vesterbro~kongens Enghave,3652.0,2008.0
Vesterbro~kongens Enghave-couple-Without Kids,Vesterbro~kongens Enghave,5232.0,2008.0
Vesterbro~kongens Enghave-single-With Kids,Vesterbro~kongens Enghave,1681.0,2008.0
Vesterbro~kongens Enghave-single-Without Kids,Vesterbro~kongens Enghave,15207.0,2008.0
Østerbro-couple-With Kids,Østerbro,5237.0,2008.0
Østerbro-couple-Without Kids,Østerbro,7005.0,2008.0
Østerbro-single-With Kids,Østerbro,2484.0,2008.0
Østerbro-single-Without Kids,Østerbro,20093.0,2008.0
Amager Vest-couple-With Kids,Amager Vest,4118.0,2009.0
Amager Vest-couple-Without Kids,Amager Vest,5359.0,2009.0
Amager Vest-single-With Kids,Amager Vest,2018.0,2009.0
Amager Vest-single-Without Kids,Amager Vest,13804.0,2009.0
Amager Øst-couple-With Kids,Amager Øst,3413.0,2009.0
Amager Øst-couple-Without Kids,Amager Øst,5115.0,2009.0
Amager Øst-single-With Kids,Amager Øst,1393.0,2009.0
Amager Øst-single-Without Kids,Amager Øst,14221.0,2009.0
Bispebjerg-couple-With Kids,Bispebjerg,2558.0,2009.0
Bispebjerg-couple-Without Kids,Bispebjerg,3969.0,2009.0
Bispebjerg-single-With Kids,Bispebjerg,1517.0,2009.0
Bispebjerg-single-Without Kids,Bispebjerg,12379.0,2009.0
Brønshøj~Husum-couple-With Kids,Brønshøj~Husum,2261.0,2009.0
Brønshøj~Husum-couple-Without Kids,Brønshøj~Husum,3330.0,2009.0
Brønshøj~Husum-single-With Kids,Brønshøj~Husum,1165.0,2009.0
Brønshøj~Husum-single-Without Kids,Brønshøj~Husum,10229.0,2009.0
Indre By-couple-With Kids,Indre By,4216.0,2009.0
Indre By-couple-Without Kids,Indre By,5837.0,2009.0
Indre By-single-With Kids,Indre By,2153.0,2009.0
Indre By-single-Without Kids,Indre By,17428.0,2009.0
Nørrebro-couple-With Kids,Nørrebro,5258.0,2009.0
Nørrebro-couple-Without Kids,Nørrebro,7313.0,2009.0
Nørrebro-single-With Kids,Nørrebro,2556.0,2009.0
Nørrebro-single-Without Kids,Nørrebro,21130.0,2009.0
Valby-couple-With Kids,Valby,3142.0,2009.0
Valby-couple-Without Kids,Valby,4240.0,2009.0
Valby-single-With Kids,Valby,1174.0,2009.0
Valby-single-Without Kids,Valby,10616.0,2009.0
Vanløse-couple-With Kids,Vanløse,2230.0,2009.0
Vanløse-couple-Without Kids,Vanløse,3125.0,2009.0
Vanløse-single-With Kids,Vanløse,970.0,2009.0
Vanløse-single-Without Kids,Vanløse,8578.0,2009.0
Vesterbro~kongens Enghave-couple-With Kids,Vesterbro~kongens Enghave,3665.0,2009.0
Vesterbro~kongens Enghave-couple-Without Kids,Vesterbro~kongens Enghave,5370.0,2009.0
Vesterbro~kongens Enghave-single-With Kids,Vesterbro~kongens Enghave,1669.0,2009.0
Vesterbro~kongens Enghave-single-Without Kids,Vesterbro~kongens Enghave,14834.0,2009.0
Østerbro-couple-With Kids,Østerbro,5572.0,2009.0
Østerbro-couple-Without Kids,Østerbro,7160.0,2009.0
Østerbro-single-With Kids,Østerbro,2522.0,2009.0
Østerbro-single-Without Kids,Østerbro,20071.0,2009.0
Amager Vest-couple-With Kids,Amager Vest,4255.0,2010.0
Amager Vest-couple-Without Kids,Amager Vest,5361.0,2010.0
Amager Vest-single-With Kids,Amager Vest,2035.0,2010.0
Amager Vest-single-Without Kids,Amager Vest,13571.0,2010.0
Amager Øst-couple-With Kids,Amager Øst,3509.0,2010.0
Amager Øst-couple-Without Kids,Amager Øst,5078.0,2010.0
Amager Øst-single-With Kids,Amager Øst,1392.0,2010.0
Amager Øst-single-Without Kids,Amager Øst,14118.0,2010.0
