depthInfo,district,val,year
amager_vest-couple-With Kids,amager_vest,3913.0,2008.0
amager_vest-couple-Without Kids,amager_vest,5331.0,2008.0
amager_vest-single-With Kids,amager_vest,1977.0,2008.0
amager_vest-single-Without Kids,amager_vest,13895.0,2008.0
amager_øst-couple-With Kids,amager_øst,3266.0,2008.0
amager_øst-couple-Without Kids,amager_øst,5169.0,2008.0
amager_øst-single-With Kids,amager_øst,1421.0,2008.0
amager_øst-single-Without Kids,amager_øst,14232.0,2008.0
bispebjerg-couple-With Kids,bispebjerg,2487.0,2008.0
bispebjerg-couple-Without Kids,bispebjerg,3988.0,2008.0
bispebjerg-single-With Kids,bispebjerg,1489.0,2008.0
bispebjerg-single-Without Kids,bispebjerg,12449.0,2008.0
brønshøj husum-couple-With Kids,brønshøj husum,2233.0,2008.0
brønshøj husum-couple-Without Kids,brønshøj husum,3326.0,2008.0
brønshøj husum-single-With Kids,brønshøj husum,1196.0,2008.0
brønshøj husum-single-Without Kids,brønshøj husum,10347.0,2008.0
indre_by-couple-With Kids,indre_by,4184.0,2008.0
indre_by-couple-Without Kids,indre_by,5883.0,2008.0
indre_by-single-With Kids,indre_by,2127.0,2008.0
indre_by-single-Without Kids,indre_by,17389.0,2008.0
nørrebro-couple-With Kids,nørrebro,5263.0,2008.0
nørrebro-couple-Without Kids,nørrebro,7329.0,2008.0
nørrebro-single-With Kids,nørrebro,2466.0,2008.0
nørrebro-single-Without Kids,nørrebro,21490.0,2008.0
valby-couple-With Kids,valby,3047.0,2008.0
valby-couple-Without Kids,valby,4262.0,2008.0
valby-single-With Kids,valby,1156.0,2008.0
valby-single-Without Kids,valby,10798.0,2008.0
vanløse-couple-With Kids,vanløse,2234.0,2008.0
vanløse-couple-Without Kids,vanløse,3137.0,2008.0
vanløse-single-With Kids,vanløse,957.0,2008.0
vanløse-single-Without Kids,vanløse,8703.0,2008.0
vesterbro kongens_enghave-couple-With Kids,vesterbro kongens_enghave,3652.0,2008.0
vesterbro kongens_enghave-couple-Without Kids,vesterbro kongens_enghave,5232.0,2008.0
vesterbro kongens_enghave-single-With Kids,vesterbro kongens_enghave,1681.0,2008.0
vesterbro kongens_enghave-single-Without Kids,vesterbro kongens_enghave,15207.0,2008.0
østerbro-couple-With Kids,østerbro,5237.0,2008.0
østerbro-couple-Without Kids,østerbro,7005.0,2008.0
østerbro-single-With Kids,østerbro,2484.0,2008.0
østerbro-single-Without Kids,østerbro,20093.0,2008.0
amager_vest-couple-With Kids,amager_vest,4118.0,2009.0
amager_vest-couple-Without Kids,amager_vest,5359.0,2009.0
amager_vest-single-With Kids,amager_vest,2018.0,2009.0
amager_vest-single-Without Kids,amager_vest,13804.0,2009.0
amager_øst-couple-With Kids,amager_øst,3413.0,2009.0
amager_øst-couple-Without Kids,amager_øst,5115.0,2009.0
amager_øst-single-With Kids,amager_øst,1393.0,2009.0
amager_øst-single-Without Kids,amager_øst,14221.0,2009.0
bispebjerg-couple-With Kids,bispebjerg,2558.0,2009.0
bispebjerg-couple-Without Kids,bispebjerg,3969.0,2009.0
bispebjerg-single-With Kids,bispebjerg,1517.0,2009.0
bispebjerg-single-Without Kids,bispebjerg,12379.0,2009.0
brønshøj husum-couple-With Kids,brønshøj husum,2261.0,2009.0
brønshøj husum-couple-Without Kids,brønshøj husum,3330.0,2009.0
brønshøj husum-single-With Kids,brønshøj husum,1165.0,2009.0
brønshøj husum-single-Without Kids,brønshøj husum,10229.0,2009.0
indre_by-couple-With Kids,indre_by,4216.0,2009.0
indre_by-couple-Without Kids,indre_by,5837.0,2009.0
indre_by-single-With Kids,indre_by,2153.0,2009.0
indre_by-single-Without Kids,indre_by,17428.0,2009.0
nørrebro-couple-With Kids,nørrebro,5258.0,2009.0
nørrebro-couple-Without Kids,nørrebro,7313.0,2009.0
nørrebro-single-With Kids,nørrebro,2556.0,2009.0
nørrebro-single-Without Kids,nørrebro,21130.0,2009.0
valby-couple-With Kids,valby,3142.0,2009.0
valby-couple-Without Kids,valby,4240.0,2009.0
valby-single-With Kids,valby,1174.0,2009.0
valby-single-Without Kids,valby,10616.0,2009.0
vanløse-couple-With Kids,vanløse,2230.0,2009.0
vanløse-couple-Without Kids,vanløse,3125.0,2009.0
vanløse-single-With Kids,vanløse,970.0,2009.0
vanløse-single-Without Kids,vanløse,8578.0,2009.0
vesterbro kongens_enghave-couple-With Kids,vesterbro kongens_enghave,3665.0,2009.0
vesterbro kongens_enghave-couple-Without Kids,vesterbro kongens_enghave,5370.0,2009.0
vesterbro kongens_enghave-single-With Kids,vesterbro kongens_enghave,1669.0,2009.0
vesterbro kongens_enghave-single-Without Kids,vesterbro kongens_enghave,14834.0,2009.0
østerbro-couple-With Kids,østerbro,5572.0,2009.0
østerbro-couple-Without Kids,østerbro,7160.0,2009.0
østerbro-single-With Kids,østerbro,2522.0,2009.0
østerbro-single-Without Kids,østerbro,20071.0,2009.0
amager_vest-couple-With Kids,amager_vest,4255.0,2010.0
amager_vest-couple-Without Kids,amager_vest,5361.0,2010.0
amager_vest-single-With Kids,amager_vest,2035.0,2010.0
amager_vest-single-Without Kids,amager_vest,13571.0,2010.0
amager_øst-couple-With Kids,amager_øst,3509.0,2010.0
amager_øst-couple-Without Kids,amager_øst,5078.0,2010.0
amager_øst-single-With Kids,amager_øst,1392.0,2010.0
amager_øst-single-Without Kids,amager_øst,14118.0,2010.0
bispebjerg-couple-With Kids,bispebjerg,2598.0,2010.0
bispebjerg-couple-Without Kids,bispebjerg,4002.0,2010.0
bispebjerg-single-With Kids,bispebjerg,1522.0,2010.0
bispebjerg-single-Without Kids,bispebjerg,12169.0,2010.0
brønshøj husum-couple-With Kids,brønshøj husum,2293.0,2010.0
brønshøj husum-couple-Without Kids,brønshøj husum,3396.0,2010.0
brønshøj husum-single-With Kids,brønshøj husum,1180.0,2010.0
